Grade,Day,Time,Activity,Location
Grade 7,Day 1,10:30 PM,Depart Mumbai Central by MMCT Jaipur SF,Mumbai Central
Grade 7,Day 2,Afternoon,"Arrive Jaipur, check in, orientation walk",Jaipur
Grade 7,Day 3,Full day,"Amer Fort, Jantar Mantar and stepwell study",Jaipur
Grade 7,Day 4,Morning,Chand Baori stepwell measurement exercise,Abhaneri
Grade 7,Day 5,Dawn,Ranthambore safari and habitat mapping,Ranthambore
Grade 7,Day 6,Full day,Project work and presentations at camp,Ranthambore
Grade 7,Day 7,8:20 PM,Board JP BDTS Express for return,Jaipur
Grade 5,Day 1,7:00 AM,"Coach departs school, breakfast en route",School
Grade 5,Day 2,6:00 AM,Sunrise boat survey and bird count,Sundarbans
Grade 5,Day 3,Full day,Mangrove walk and sketching session,Sundarbans
Grade 5,Day 4,2:00 PM,Return coach to school,Sundarbans
