Grade,Type,Text
Grade 7,Safety,"A ratio of 1:12 is maintained (one accompanying adult for every 12 students), including teachers, admin, support staff and Safety Monitors."
Grade 7,Safety,Room allocation lets teachers easily monitor students; students know which room their teacher is in.
Grade 7,Safety,"One adult accompanies students at all times, including washroom breaks and activities."
Grade 7,Safety,A student orientation is held 15 days before the trip covering safety protocols.
Grade 7,Safety,A trained medical person and first-aid facility are available at the campsite at all times.
Grade 7,Safety,Nearest Police Station and Hospital details are kept handy with the Safety Monitor.
Grade 7,Safety,Accompanying staff receive first-aid training and carry contact details of all parents.
Grade 7,Safety,"Staff and vendors are trained under POCSO, with signed undertakings from all vendors."
Grade 7,Safety,Each batch has 2 dedicated Safety Monitors focused solely on student safety.
Grade 7,Safety,Regular WhatsApp updates with photos and videos are shared with parents.
Grade 7,Safety,Headcount is taken at every stop and at regular intervals; health checks are done daily at end of day.
Grade 7,Do,"If your child takes any medicine regularly, hand it to the Safety Monitor a day prior at the bus stop, with clear instructions."
Grade 7,Do,Inform the accompanying teacher if your child has any medical history needing personal attention.
Grade 7,Dont,Students may not carry personal medicines — staff carry a first-aid box with basics if needed.
Grade 7,Dont,"Students may not carry mobile phones, smart watches, or other gadgets; these will be confiscated if found."
Grade 7,Carry,Original School ID and Aadhar card (mandatory)
Grade 7,Carry,"Clothes for 7 days — full pants, full-sleeve T-shirts, sweatshirts"
Grade 7,Carry,Sweater / fleece jacket / thermals
Grade 7,Carry,Night dress
Grade 7,Carry,Heavy woolens
Grade 7,Carry,Shawl / light blanket
Grade 7,Carry,Sport or trekking shoes (compulsory)
Grade 7,Carry,Sandals / slippers
Grade 7,Carry,Water bottle and a shoulder bag to carry it throughout the day
Grade 7,Carry,"Towel, napkin, cap or hat, bandana, cotton socks, warm gloves"
Grade 7,Carry,"Toiletries, moisturizer, sun cream, lip balm"
Grade 7,Carry,Mosquito repellent cream — Odomos (compulsory)
Grade 7,Carry,"Dry, healthy snacks for travelling"
Grade 5,Safety,One adult accompanies every 8 students throughout the camp.
Grade 5,Safety,"Life jackets are compulsory on all boat activities, without exception."
Grade 5,Do,Send a labelled water bottle and sun hat.
Grade 5,Dont,No mobile phones or smart watches.
Grade 5,Carry,Full-sleeve cotton clothes for 4 days
Grade 5,Carry,Closed walking shoes
Grade 5,Carry,Mosquito repellent (compulsory)
