,,,,,,,,,,,,
Grades,Destination ,Dates/ Sections,Header Text,Parent Orientation,Student Orientation,Itinerary (nucleus) (link) ,Travel details ,Safety guidelines,Do/Dont's,Things to carry ,Pic folder (link),last years pic for adding in page 
7,Jaipur-Abhaneri-Ranthambore,"Batch 1: 12-19 December 2026

Section: Acuity, Cognizance, Idea & Perspicacity

","A Journey Beyond the Classroom

Get ready for an exciting journey filled with exploration, adventure, new experiences and unforgettable memories! The trip has been thoughtfully planned to give students opportunities to discover new places, experience different cultures, enjoy exciting activities and create lasting memories together.

Please go through the details below for the upcoming trip, including the itinerary, activities, travel arrangements and other important information.",https://docs.google.com/presentation/d/1rfrDdpPpgljF7LPmJklgGbetWfho8Q7DYCzToJR50a0/edit?usp=sharing,https://docs.google.com/presentation/d/1eV9vw96QR_GlCjFX47I4Gjlljy7NO2UyoLR85RA7Qjg/edit?usp=sharing,https://docs.google.com/document/d/1M_ioD8t7_qa5q4xT27fTBbVUnzGYSG-hxX9rtgUhbf0/edit?usp=sharing,"Batch 1 
Departure - 12 Dec at 10:30 pm (reporting 9:45 pm)

Train - MMCT JAIPUR SF (12955) toSawai Madhopur Junction

Arrival - 19 Dec at 8:45 am 
Train- JP BDTS EXP (12980)
","A ratio of 1:12 is maintained (one accompanying adult for every 10 students), including teachers, admin, support staff and Safety Monitors.
Room allocation lets teachers easily monitor students; students know which room their teacher is in.
One adult accompanies students at all times, including washroom breaks and activities.
A student orientation is held 15 days before the trip covering safety protocols.
A trained medical person and first-aid facility are available at the campsite at all times.
Nearest Police Station and Hospital details are kept handy with the Safety Monitor.
Accompanying staff receive first-aid training and carry contact details of all parents.
Staff and vendors are trained under POCSO, with signed undertakings from all vendors.
Each batch has 2 dedicated Safety Monitors focused solely on student safety.
Regular WhatsApp updates with photos/videos are shared with parents.
Headcount is taken at every stop and at regular intervals; health checks are done daily at end of day.","Do: If your child takes any medicine regularly, hand it to the Safety Monitor a day prior at the bus stop, with clear instructions.
Do: Inform the accompanying teacher if your child has any medical history needing personal attention.
Don't: Students may not carry personal medicines — staff carry a first-aid box with basics if needed.
Don't: Students may not carry mobile phones, smart watches, or other gadgets; these will be confiscated if found.","Original School ID & Aadhar card (mandatory)
Clothes for 7 days — full pants, full-sleeve T-shirts, sweatshirts
Sweater / fleece jacket / thermals
Night dress
Heavy woolens
Shawl / light blanket
Sport or trekking shoes (compulsory)
Sandals / slippers
Water bottle + shoulder bag to carry it throughout the day
Towel, napkin, cap/hat, bandana, cotton socks, warm gloves
Toiletries, moisturizer, sun cream, lip balm
Mosquito repellent cream — Odomos (compulsory)
Dry, healthy snacks for travelling",https://drive.google.com/drive/folders/12gn5nz6qSyYWiqxI5sSNicpzOraJrtlA?usp=sharing,https://drive.google.com/drive/folders/1B5CSsY9XkB4uA6Og6Q5WtMNrfeVBWuFJ?usp=sharing
,,"Batch 1: 13-20 December 2026

Section: Acumen, Insight, Envisage, Vision
",,https://docs.google.com/presentation/d/1lewyPQYxvobRu7WGioiirQvxbOITlsA2A2w9gxFRXD0/edit?usp=sharing,https://docs.google.com/presentation/d/1tMx6EITkKaD-M5I-sWc7gDtxQquBLNffCVPw1iqJ0As/edit?usp=sharing,https://docs.google.com/document/d/1M_ioD8t7_qa5q4xT27fTBbVUnzGYSG-hxX9rtgUhbf0/edit?usp=sharing,"Batch 2 
Departure - 13 Dec at 10:30 pm (reporting 9:45 pm)

Train - MMCT JAIPUR SF (12955) to Jaipur

Arrival - 20 Dec at 8:45 am 
Train- JP BDTS EXP (12980) OR Ak Tejas Raj Ex (12954)
",,,,,
8,Jabalpur-Panchmarhi,"
Batch 1: Ardour, Elan, Exuberance, Rhapsody.","A Journey Beyond the Classroom

Get ready for an exciting journey filled with exploration, adventure, new experiences and unforgettable memories! The trip has been thoughtfully planned to give students opportunities to discover new places, experience different cultures, enjoy exciting activities and create lasting memories together.

Please go through the details below for the upcoming trip, including the itinerary, activities, travel arrangements and other important information.",https://docs.google.com/presentation/d/1Gmc7fJN74j44q4nGMGdZK-OgEFJ16h5UE4nBcrSPOAw/edit?usp=sharing,,,"Batch 1 
Departure - 13 Dec at 10:37 pm (reporting 9:45 pm)

Train - (Rajkot Rewa SF (22937) to Jabalpur

Arrival - 19 Dec at 10:21 am 
Train- JBP BDTS SF SPL (02134)",,,,https://drive.google.com/drive/folders/1iRR_sibi7fKWMygPyHRNavzqP2DrrMKl?usp=sharing,https://drive.google.com/drive/folders/1UcQH7vYy1bhRiZiJyDugc35ERPfPAMso?usp=sharing
,,"13-19 December 2026
Batch 2: Verve, Vivacity, Zing, Zest.",,https://docs.google.com/presentation/d/12lerCUWyveza8hP7mAB7XXQ6wm2HSxcjju42gQ8t4bY/edit?usp=sharing,,,"Batch 1 
Departure - 13 Dec at 10:37 pm (reporting 9:45 pm)

Train - (Rajkot Rewa SF (22937) to Jabalpur

Arrival - 19 Dec at 10:21 am 
Train- JBP BDTS SF SPL (02134)",,,,,
9,,,"A Journey Beyond the Classroom

Get ready for an exciting journey filled with exploration, adventure, new experiences and unforgettable memories! The trip has been thoughtfully planned to give students opportunities to discover new places, experience different cultures, enjoy exciting activities and create lasting memories together.

Please go through the details below for the upcoming trip, including the itinerary, activities, travel arrangements and other important information.",,,,,,,,https://drive.google.com/drive/folders/1lUXOXzPVQc5lod0rToSDOcFPEjUI5UZG?usp=sharing,
,,,,,,,,,,,,
Grade 10,Jodhpur & Jaisalmer,"Batch 1: 12-17 December 2026

","A Journey Beyond the Classroom

Get ready for an exciting journey filled with exploration, adventure, new experiences and unforgettable memories! The trip has been thoughtfully planned to give students opportunities to discover new places, experience different cultures, enjoy exciting activities and create lasting memories together.

Please go through the details below for the upcoming trip, including the itinerary, activities, travel arrangements and other important information.",https://docs.google.com/presentation/d/11CYMHCZCZbYRWZnx6hJyQyWMWhUWdK4Hzlqzj-QfeZQ/edit?usp=sharing,,,,,,,https://drive.google.com/drive/folders/1O8e6vdhTNKXN3_icDPbI4Pg-8djiJpHl?usp=sharing,
,,Batch 2: 15-20 December 2026,,,,,,,,,,
11,,,"A Journey Beyond the Classroom

Get ready for an exciting journey filled with exploration, adventure, new experiences and unforgettable memories! The trip has been thoughtfully planned to give students opportunities to discover new places, experience different cultures, enjoy exciting activities and create lasting memories together.

Please go through the details below for the upcoming trip, including the itinerary, activities, travel arrangements and other important information.",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MlC,Manali,12-19 December 2026,"A Journey Beyond the Classroom

Get ready for an exciting journey filled with exploration, adventure, new experiences and unforgettable memories! The trip has been thoughtfully planned to give students opportunities to discover new places, experience different cultures, enjoy exciting activities and create lasting memories together.

Please go through the details below for the upcoming trip, including the itinerary, activities, travel arrangements and other important information.",MLC-Manali (2026-27)  Parents,,,"
Departure - 12 Dec at 7:48 pm (reporting 7:00 pm)

Train - (NDLS Tejas Raj -12951) to New Delhi


Arrival - 19 Dec at 5:30 am 
Train- (MMCT Tejas Raj -12952)",safety-guidelines-poster,do-and-donts-poster,things-to-carry-poster,,
